Barangay,Base Price,Price,Lot Area,Floor Area,price per lotsqm,price per floorsqm,Is Amortized?,development
DAANG AMAYA,3451999.276,12500000,301,158,41528.2392,79113.92405,yes,0.9
BIGA,755849.7616,2737000,40,42,68425,65166.66667,yes,0.6
BUCAL,450000,450000,40,42,11250,10714.28571,no,0.45
BIWAS,2500000,2500000,144,43,17361.11111,58139.53488,no,0.85
JULUGAN,1300000,1300000,140,46,9285.714286,28260.86957,no,0.55
AMAYA,2500000,2500000,48,65,52083.33333,38461.53846,no,0.8
SAHUD ULAN,2500000,2500000,40,52,62500,48076.92308,no,0.3
BAGTAS,71899.68772,195000,94,77,2074.468085,2532.467532,yes,0.7
BAGTAS,433999.7889,1177056,36,22,32696,53502.54545,yes,0.7
BIWAS,2500000,2500000,144,43,17361.11111,58139.53488,no,0.85
BUCAL,3500000,3500000,106,136,33018.86792,25735.29412,no,0.45
MULAWIN,794871.1614,2878300,36,44,79952.77778,65415.90909,yes,0.4
SANJA MAYOR,953067.7273,3451144,53,46,65115.92453,75024.86957,yes,0.5
SANJA MAYOR,749408.4876,2158000,40,46,53950,46913.04348,yes,0.5
SAHUD ULAN,1454700.111,5267600,85,55,61971.76471,95774.54545,yes,0.3
LAMBINGAN,852436.5274,2454680,48,42,51139.16667,58444.7619,yes,0.2
BAGTAS,1500000,1500000,54,42,27777.77778,35714.28571,no,0.7
PUNTA,1302022.326,4714740,63,44.5,74837.14286,105949.2135,yes,0.75
TANAUAN,761215.6648,2192000,44,40,49818.18182,54800,yes,0.25
TANAUAN,1900000,1900000,44,40,43181.81818,47500,no,0.25
SANJA MAYOR,611250.6225,1760160,40,46,44004,38264.34783,yes,0.5
SAHUD ULAN,1454700.111,5267600,85,55,61971.76471,95774.54545,yes,0.3
CAPIPISA,7500000,7500000,267,42,28089.88764,178571.4286,no,0.45
BAGTAS,3800000,3800000,37,46,102702.7027,82608.69565,no,0.7
BAGTAS,500000,500000,37,42,13513.51351,11904.7619,no,0.7
DAANG AMAYA,696776.2585,2006440,198.5,158,10108.01008,12698.98734,yes,0.9
JULUGAN,1018118.859,3686700,38,48,97018.42105,76806.25,yes,0.55
BAGTAS,3500000,3500000,46,54,76086.95652,64814.81481,no,0.7
BAGTAS,398361.1416,1080400,37,42,29200,25723.80952,yes,0.7
BAGTAS,447090.6941,1212560,36,42,33682.22222,28870.47619,yes,0.7
PARADAHAN,5300000,5300000,130,240,40769.23077,22083.33333,no,0.65
TANAUAN,1464752.333,5304000,69,40,76869.56522,132600,yes,0.25
SANJA MAYOR,789817.4345,2860000,114,44,25087.7193,65000,yes,0.5
PUNTA,930000,930000,33,45,28181.81818,20666.66667,no,0.75
SANJA MAYOR,2500000,2500000,70,46,35714.28571,54347.82609,no,0.5
CAPIPISA,768276.959,2782000,36,40,77277.77778,69550,yes,0.45
SANJA MAYOR,2000000,2000000,60,47,33333.33333,42553.19149,no,0.5
